flightNumber,originIATA,destinationIATA,airline,aircraftID,year,month
77426,EBB,CPH,Qatar,UCUJ9MK8N8RA65699,2015,08
69214,MTY,REC,Iberia,H3Y9W869TJFM76778,2015,08
65980,SCL,RAK,Iberia,07PERP1C6VNV53353,2015,08
15438,FRA,FCO,British Airways,5NGN5E9T85K257956,2015,08
23814,ALG,JFK,Iberia,WYNMFEH8GFHC99750,2015,08
20246,ACC,EZE,Iberia,DAGX40X4MDB452494,2015,08
63514,IAD,GDL,American,PUSCZXSMVYKW38427,2015,08
70788,DFW,ATL,Iberia,4MNSFUHH5TWC51914,2015,08
87652,PHL,FOR,British Airways,4KTXNF6W0ACS54732,2015,09
33032,PHX,SAN,Emirates,0V5SWM296PY511085,2015,09
18156,CDG,KIX,LATAM,T06KFN5TPST655134,2015,09
66004,BOS,DXB,American,UP5KW0U5EPM631407,2015,09
43495,TSV,MAN,British Airways,801Y93M174YE44741,2015,09
99774,MTY,EBB,British Airways,2PGAKJKHYKMT47468,2015,09
54538,SSA,LOS,LATAM,LP10PZMX3XTL99843,2015,09
75008,AGP,ABV,LATAM,BL0J5JTRB8DA34526,2015,09
97803,DAR,MSP,Iberia,BF6ST6FAWVLW80593,2015,09
25945,REC,CPT,LATAM,FVN7ZHBE84VF52542,2015,09
23249,PLZ,ADL,American,K1DB8H2PKUXZ26301,2015,09
14009,JED,DME,Emirates,UZ3MXNFY67TB40192,2015,09
59600,HBE,CBR,Qatar,UUA1B308UDTY48965,2015,09
39037,ADL,PTY,British Airways,TGLWZWAA3MLW67392,2015,09
25023,NBO,FRA,British Airways,2TM64PDZHBUR74799,2015,09
64385,HEL,CDG,Iberia,278MU0ENW3FD59856,2015,09
57656,LAX,CAI,Iberia,CF9RCPP7W8NE30330,2015,09
60638,YYZ,SAN,American,6PHAWLERBEDN49943,2015,09
10972,GRU,HBE,American,029KNMCA52M752708,2015,09
96137,MSP,AMS,American,6B15WGXNN8JY13607,2015,09
69866,CAN,PMI,Qatar,J7WYJ0ECACEF53405,2015,09
14542,CNS,BWI,LATAM,SRWK6HXD6CAP34067,2015,09
77100,DRW,BKK,Emirates,8MLJ1T4KVJPP19433,2015,09
92036,SZX,TSV,British Airways,JKR1YHAYWPT478441,2015,09
94794,WLG,MUN,British Airways,YHJ2MVCXHXUV68547,2015,09
73677,MIR,PHX,British Airways,RNX07GKYHUK914425,2015,09
11646,PMI,MCY,LATAM,01HB5GGRU7D877424,2015,09
32586,HKG,MDW,British Airways,A89H04U8W2A577165,2015,09
80713,IST,TXL,British Airways,VYU7AHVG89XP33196,2015,09
49372,DLA,NRT,American,5K62VYECGFKT32906,2015,09
64048,ABJ,BRU,British Airways,NN00MJMXNAJX89324,2015,10
99016,DMK,PMR,LATAM,P15B3EN4FYGS83441,2015,10
80367,DME,BOM,British Airways,J1PDNM7SY8ZC81993,2015,10
64723,RUN,HGH,LATAM,8ZPN5F0728GN19983,2015,10
81854,NTL,LGW,British Airways,PT3KRT5F30RR67303,2015,10
92419,NRT,CLT,Iberia,0XE7N4ZNDZK268590,2015,10
19094,BCN,MEX,LATAM,CVH8TLFU14LA62483,2015,10
78111,PHL,HTI,Emirates,KBTM7R9S3PTB97155,2015,10
30868,NAN,SDU,Qatar,MFZGHPAPX7JL74177,2015,10
11136,NBO,CLT,Emirates,AFWK6J5M4BUR49879,2015,10
20936,AGP,NSN,Emirates,5LY3JAHTSRPV34027,2015,10
85376,ORD,JFK,American,6JGXWHFLRTAV10673,2015,10
28763,MEL,JFK,British Airways,V7WXYL8ERYCY95147,2015,10
18508,ORL,LGA,American,M9EF673RGZCW36909,2015,10
22757,OOL,KRT,Qatar,MKD5XTFKCEKN92913,2015,10
99352,CHC,FRA,Emirates,06E9S59NPEG080437,2015,10
91606,FLN,LAS,Qatar,ZM1CZECW5WAH94547,2015,10
84838,RUN,JNB,British Airways,9GLDDXXXEARH81967,2015,10
82803,SFO,GIG,Qatar,M34B9FJD6YEE50861,2015,10
97293,CKG,BWI,Qatar,XGTUY1BLPLTM83776,2015,10
94881,JFK,TPE,Qatar,RX4DVHN2AYMK65131,2015,10
75068,LGA,YVR,Emirates,FNVKD9G80EMN84579,2015,10
74726,POA,KIX,Iberia,FPNL8J6MJZGY81543,2015,10
38414,PHL,MSP,Emirates,FLJEN8JMZUT931991,2015,10
36910,CNS,KMG,American,5SE9VAZESSJN36064,2015,10
73267,AGP,CNS,American,19N7AKCNYGPP73703,2015,10
53178,LHR,PER,British Airways,TGWEF3G3Z6NV19740,2015,10
15405,ASP,JNB,British Airways,NRLHA8F7S6WY61041,2015,10
57531,AEP,SYD,Iberia,MSM57B2H5XPL30879,2015,10
25135,OOL,SIN,British Airways,ETR8LTJYWXK038476,2015,10
88057,SSH,SAN,LATAM,19G6J0PCB8UY80838,2015,11
39644,LOS,LAS,Iberia,5G38KYMTZZT417200,2015,11
44774,BOS,MEX,LATAM,L3UYCFD2P2UR12899,2015,11
21730,ATL,CUZ,British Airways,R6U6VJ6W0GGC36286,2015,11
65842,TPE,MCO,British Airways,TSGWKFKC30SX56673,2015,11
96037,CWB,MRU,LATAM,LWVU5MHYHHPP30690,2015,11
56765,TUN,CWB,LATAM,K3VJHDEYXUEV64666,2015,11
37769,ORD,SGN,American,XS55FKCT60MR51509,2015,11
21708,VIE,HBE,LATAM,T1DMR9ULELAS28573,2015,11
85179,TSV,ASP,LATAM,YJHVYJUTZ9XU56853,2015,11
48895,KTA,CNF,Qatar,Y73PG7XNM1R370542,2015,11
93412,SIN,DLA,Qatar,E1L4M7VFYZCF59221,2015,11
45095,ACC,EBB,Qatar,LHGY6NL1APC972203,2015,11
30095,CNS,MIR,LATAM,1BUV08MDZZKY56209,2015,11
58842,LAX,CLT,American,7LVPGMCUPSGK18225,2015,11
37717,NAN,ADD,Qatar,92A4MVB29WSJ26254,2015,11
57417,MKY,ASP,LATAM,RP01TPVT4TPA25246,2015,11
59867,JNB,SZX,Qatar,DEN6EG8RFJWS55223,2015,11
85686,TXL,HGH,British Airways,ADT1EHK4V2T754484,2015,11
99321,EBB,CUN,British Airways,HN67KEBV85U745587,2015,11
51399,SSH,AGA,Emirates,JEAKN605U7BS28762,2015,11
84555,SJO,EBB,Qatar,AWK1J28C51XZ50029,2015,11
49070,ARN,KTA,Emirates,BG8NN3DAUVMM91620,2015,11
78441,MEX,AGA,Qatar,AZNPM0F9EWSR75294,2015,11
44300,GDL,CDG,Iberia,XBAT3ZFSFWUM50601,2015,11
87963,DAR,TXL,LATAM,CNUY95DTHTTA80389,2015,11
80065,BNE,ICN,Emirates,LCHF4U07DZWT60342,2015,11
48279,CGH,MEX,Emirates,5HXD4GGDZHLD67365,2015,11
67907,NKG,MNL,Qatar,R63S571CZJM565880,2015,11
71134,ABV,ARN,Emirates,8LFP9CYUJFR419203,2015,11
21664,MCY,HAV,British Airways,JEEHKC54P7R355026,2015,12
70856,GIG,PER,Iberia,8NLD5GMRUXPJ60149,2015,12
88644,SFO,BOS,British Airways,A2TWLC81SJFL94374,2015,12
25818,HRG,MCO,British Airways,R08SFNZXWXRJ24178,2015,12
12013,LAS,LGW,LATAM,BAZLVM3HWSH457528,2015,12
16619,CBR,BKK,Iberia,B3EL08FC1GGX23745,2015,12
95420,PHL,LIM,Emirates,NL16P85EJ8GZ73371,2015,12
11170,PHL,LGW,Emirates,FP24GU006LDD74286,2015,12
10210,TSV,CJU,LATAM,ZWJ156ZEEYH679943,2015,12
20473,SEA,LST,Emirates,AKDPHHPLUWNE18888,2015,12
68324,ZRH,SSH,British Airways,7B984L7YE9FG54049,2015,12
30720,SLC,SJO,Emirates,BW7A670TV4LN50632,2015,12
55508,XIY,TPE,Qatar,L4AE6Y09TDCW57883,2015,12
64467,ACC,PHX,Emirates,B8LTTTE4UZJL13386,2015,12
53336,HBA,YYZ,Iberia,CX79B017CSZB92540,2015,12
78284,PHL,ATL,Iberia,D34GECD1B3RD11581,2015,12
93622,EZE,LAS,Qatar,BEJRCSLYZAMW72474,2015,12
56647,ICN,DUD,British Airways,JWLVDGWJAVWE92152,2015,12
11175,TUN,FOR,British Airways,VCB4UBF98VY190500,2015,12
43065,JNB,NBO,Iberia,5NBALB22PUL416598,2015,12
42867,CAI,ORN,Qatar,MCWHEGUZWXX661481,2015,12
93130,KRT,POA,LATAM,KC9FL0BANJMT55573,2015,12
48225,MDW,LST,British Airways,6YTJGJR5CZZ877017,2015,12
20708,BOG,DKR,British Airways,3LFNCX0KERPX26595,2015,12
80274,DEL,CHC,Iberia,X1VFGT9PK6E985081,2015,12
51542,MUC,MUN,Qatar,2V7GPR76J1DB25343,2015,12
44541,HRG,SGN,British Airways,UULSP24NBDW580817,2015,12
39987,HBA,DXB,Iberia,R7YJF10TK4W534685,2015,12
16633,LAX,LGW,American,NXJ8P7CVN5CZ53760,2015,12
96538,WLG,MEL,Emirates,17N52E24RKL084093,2015,12
77460,CUZ,OOL,British Airways,5CDNUU8ZBUZJ88046,2016,01
36227,EWR,AGP,American,HYH38PTWA2BC44997,2016,01
39143,GRU,DTW,British Airways,0RYPTTHARCL917039,2016,01
31433,CAN,SAW,Qatar,PGV1GF56G5Y287309,2016,01
85864,SSH,ABV,Emirates,9Z56ZUZG2RJZ79419,2016,01
88009,ADD,BSB,Iberia,JUW97P2FZ8AU56147,2016,01
65592,TIJ,CGH,British Airways,ALF9YEYL8ZA393728,2016,01
73834,SDU,SYD,Qatar,NZ55XF118CUE76408,2016,01
67777,MEX,CNF,Iberia,2Z9KTLTBJGE486987,2016,01
31581,LST,MIA,British Airways,W7UDWLVR2UH983945,2016,01
77088,IAD,HBE,LATAM,46B4XCNHTSH724818,2016,01
30067,RUN,PMI,American,47AERXPTCYHT69823,2016,01
99867,PTY,PVG,Iberia,3CB8CYERF1XS15499,2016,01
35001,CLT,LIS,LATAM,3K61SCC828GM64871,2016,01
71428,CUZ,CNS,British Airways,ADWW442UUVN821641,2016,01
30029,DJE,SSA,American,C3J4B7HEHSTB29492,2016,01
48143,NTL,PHX,LATAM,TBA75AX3TEMB77633,2016,01
85765,ORL,ORN,LATAM,KYZ6X7UKP4BK38819,2016,01
25358,ABJ,PLZ,British Airways,MCE37RF4U9GR36500,2016,01
84542,MIA,MIR,Qatar,4VHU3NU12TU179751,2016,01
18365,HGH,PHX,Qatar,RUYM9MLU4PTV11765,2016,01
20720,LHR,TIJ,Qatar,2ZJUA0YNMSG727088,2016,01
90572,NTL,BNE,Emirates,4079VZW0LPAY75997,2016,01
73325,ALG,MAN,Qatar,MPDLZXSUN3LP36362,2016,01
74535,SVO,NAN,Emirates,70X3MYEFBZTG75273,2016,01
36147,GYN,NKG,British Airways,BEXPMEC0XSE650372,2016,01
73312,DRW,MUN,Emirates,WFJ3TH1JFZJW69949,2016,01
52773,CDG,KTA,American,AYZUKPBB5NW522573,2016,01
41695,BSB,CNF,British Airways,ETBWTRSSZXF646035,2016,01
66266,ATL,SYD,Emirates,23ZDD72B1CB142963,2016,01
28065,RAK,TSV,LATAM,ETZLZJA74EXU37617,2016,02
41627,DMK,SIN,British Airways,61FKY683HBRZ91531,2016,02
54427,RUN,JED,Qatar,UGHNKNDL2UJ918466,2016,02
99958,NTL,XIY,LATAM,ELG1R4KC3MA367307,2016,02
17633,SDU,SFO,Emirates,XBSJ1E74TLGP14004,2016,02
38741,SIN,HGH,British Airways,LRV38PFVENRE10306,2016,02
63084,SSA,RUN,Emirates,6EE23KSPEXHE99662,2016,02
27231,SAW,PMI,British Airways,XPR2PR6SE5EE45307,2016,02
69957,PEK,HKG,LATAM,PJPC1RK098G967927,2016,02
76453,DAR,GDL,LATAM,344S83MHE5R587223,2016,02
56123,ORD,TIJ,American,MV9XVGMUVURY77567,2016,02
94374,MIA,DEN,British Airways,UFGF50B6N5R677338,2016,02
94705,CAN,ORL,American,4ZJDWKFTGLP060089,2016,02
