aircraftID,name,aircraftType
FSKYDHE77TX276733,Embraer EMB.110 Bandeirante,EMB
SK9LZPA630RE79107,Boeing 747-400D,74J
UG2M181WR6AU35843,Boeing 767-300,763
64Z82FY567W148837,Airbus A318,318
HTD5C3AH9JYG91508,Airbus A320neo,32N
2EYAHWK6M5ZW98032,Airbus A320neo,32N
3S200RWU0KC163519,De Havilland DH.104 Dove,DHD
C299HSD2KPWJ70261,Boeing 727-200,722
YD84KMSTYDEX27070,Airbus A310-300,313
FS8M2BGAZXNZ65573,Douglas DC-9-20,D92
WYF5PDDC52Y186203,Aerospatiale/BAC Concorde,SSC
X6J18E6EJVJV73556,Boeing 777,777
6U889Y90UJK920170,Douglas DC-9-10,D91
1A3P9EZF8ZUX78761,Ilyushin IL76,IL7
AVK173UCEUD444863,Boeing 737-500,735
ENMUE257FBRN12550,McDonnell Douglas MD90,M90
ZWJMMNWNWZT755792,McDonnell Douglas MD82,M82
52LT8JFX86NJ68831,Boeing 777-300ER,77W
NF3VRJA9EHL515151,Boeing 767-200,762
ZVG66B55F1Z061008,Ilyushin IL76,IL7
G2VL107U6RXZ98854,De Havilland Canada DHC-8-400 Dash 8Q,DH4
504Y4GEZTBAY46672,Airbus A319,319
840R4TTE1NMN90076,Boeing 737-500,735
R1GTNC2MLTMX64277,Canadair Regional Jet 200,CR2
N3MC47P6XLNY79724,Antonov An-72,AN7
77DN5TAFNCXE36422,De Havilland Canada DHC-8-400 Dash 8Q,DH4
B0WWRHXCNFR429009,Boeing 720B,B72
VTZW7SS5S6X814684,Airbus A340,340
8J39YLTJUEX543683,Lockheed L-1011 Tristar,L10
K5MDVE18W7ZH45374,Boeing 737 MAX 10,7MJ
JUWV93T8Y5ZM85728,Boeing 747-400,744
0ES5HM6YM7MR70760,McDonnell Douglas MD87,M87
W954HGLTAFLT72371,Airbus A319,319
RXGN95WGF6JM87963,De Havilland Canada DHC-2 Beaver,DHP
SDBSJ4GHMXYE28946,Canadair Regional Jet 1000,CRK
C99205WGB4AG85042,Airbus A310-300,313
ASCAJH802LD021839,McDonnell Douglas MD83,M83
3XTRVDDSV7WZ28521,Boeing 777-200LR,77L
X69C4KT9U1UR63045,Boeing 737-600,736
H6ATBX3D5XJX67311,Boeing 737,737
DNRVWRCY01MA87218,Boeing 767-300,763
1C3BEBRJ1GTY57536,Embraer 195,E95
TF8CXD85UCB754366,Tupolev Tu-154,TU5
K7L2NPABXEZD51409,Boeing 747SR,74R
6RE03C6Z58N835010,Antonov An-140,A40
TRCHKEMV0CNL16766,Boeing 737-300,733
4T379WV52WK088724,Embraer 170,E70
881D0JR5LYJZ18576,Embraer RJ140,ERD
56A1VZXY4PV549635,Airbus A310-200,312
4340A21E4RKW75792,Lockheed L-188 Electra,LOE
BWLMEZFGVMFF25825,Canadair CL-44,CL4
CS3XEHH9S4TN71518,Antonov An-26,A26
YB4C5E8GX0FM45270,Canadair Regional Jet 100,CR1
PSZVAHL7YDD334278,Boeing 757-200,752
1PJGXFRC87A311157,Airbus A340-600,346
NVHKKNK27HEC82961,Airbus A350-1000,351
U1SNNWPMKMNF34536,Boeing 757,757
X5NMG07RDJBY60737,McDonnell Douglas MD80,M80
RYBHMK4ZG3W299757,Boeing 737-600,736
UC30BJ8LDYGL53628,Canadair Regional Jet 200,CR2
L0T96511ZYV660492,Ilyushin IL18,IL8
1CKBB2K922WC11814,Airbus A340-300,343
GT3JL397VJLH88926,De Havilland Canada DHC-6 Twin Otter,DHT
X20R7EJXG8MW27439,Lockheed L-1049 Super Constellation,L49
G6HL7LAD2MYM56243,De Havilland Canada DHC-2 Beaver,DHP
GE3MT4EY8WBG11955,McDonnell Douglas MD88,M88
Z0G3FC27T1CS18858,Airbus A319,319
JLY04RGMGZVV67978,Canadair Regional Jet 705,CRA
FKESU01T5HW140766,Ilyushin IL76,IL7
4EWV5TD579GC70842,Airbus A321,321
T6YTD58S8ADU43359,Embraer 195,E95
LRCLPK0YP2LU45585,De Havilland DH.114 Heron,DHH
83C4CETGVCZ347452,Embraer 170,E70
XAFFCE8J3RTV16198,Ilyushin IL18,IL8
RHJD9K5SGEHX84560,Boeing 787,787
LWUFVTVZHFVK93878,Embraer EMB.110 Bandeirante,EMB
7T9D2DVKPECX49337,Embraer EMB.120 Brasilia,EM2
P4Z5L9RTB2UA98677,Airbus A350,350
NTK2SCXE52DS64406,Douglas DC-6,D6F
ESAJ5HH9B4R897649,McDonnell Douglas MD90,M90
Y30XJRJUJBG518858,Boeing 747-100,741
EWL0Z2975TXG31941,Lockheed L-182 / 282 / 382 (L-100) Hercules,LOH
LHT8WSLEW0NE34996,De Havilland Canada DHC-3 Otter,DHL
J0J5Z7Z7WEJZ27227,Antonov An-225 Mriya,A5F
1P5SPPJ6AXMJ43672,Ilyushin IL18,IL8
WJ13MV7BEHTS11890,Canadair Challenger,CCJ
7C3XXZ4DA6CG73656,De Havilland Canada DHC-2 Turbo-Beaver,DHR
BPYXRK2GZPZ255108,Douglas DC-9-20,D92
6LVKX8YZTKX795474,Antonov An-30,A30
NU8YH53LR7R688965,Airbus A330-800neo,338
F1ZZXM40FACF96171,Boeing 737 MAX 10,7MJ
V6KPU7B257Z372990,De Havilland Canada DHC-8-400 Dash 8Q,DH4
GAPAR6313SYJ87243,McDonnell Douglas MD90,M90
6P71A9GJV1BE21157,Boeing 747-200,742
W1F58YDMS7UL12177,Antonov An-32,A32
SFM50EC75KH757405,McDonnell Douglas MD81,M81
S8H37EGMMVDR67286,Airbus A330-200,332
ABY7E0WMACRR89833,Boeing 757-200,752
JDMAXJSWM8LS17385,De Havilland Canada DHC-6 Twin Otter,DHT
CXC10AUDEYMJ12377,McDonnell Douglas MD81,M81
MBBYETEYLLNK25682,Boeing 737-700,73G
7TJ31ZEWMEE832055,Douglas DC-8-72,D8Q
V1335U9WG5UV92583,Airbus A300,AB3
4894XJXDJ8TC15082,Boeing 767-400,764
K9KA9PXGH1H785099,Antonov An-72,AN7
NHZXEAY2USMW26768,Antonov An-28,A28
K4SU9L60VVCN90957,Tupolev Tu-154,TU5
2WTYEFB6R2JA28101,Boeing 767-300,763
L6B8LTTGXJAE39258,McDonnell Douglas MD82,M82
UZW7E8DEMKNC27577,Embraer RJ140,ERD
8P2LJG7B1NJV61810,De Havilland Canada DHC-6 Twin Otter,DHT
F0K2Z9UX33PU37900,McDonnell Douglas MD87,M87
63UF1EHNYNR158443,Douglas DC-9-10,D91
6XEYM8JPU3S469368,Embraer 195,E95
9BCM0CW8LUPM92868,Airbus A380,380
69Y2ECB17EDU40355,Boeing 737-200,732
DFLSRR5PUKMS70892,Boeing 767-400,764
7BR4T7RP39U193385,Boeing 707,703
HPWWGW18KFP796050,Douglas DC-10-30,D1Y
6D2HL91LNTBL15109,Boeing 777-200,772
3DN9AUP9PSEP59482,Boeing 737-200,732
XPB407S86XGU66099,Antonov An-148,A81
R2MANR0JACN499062,Embraer Phenom 100,EP1
CCHKF02FTESA79312,De Havilland Canada DHC-6 Twin Otter,DHT
UE9X7V5Z11A015226,Embraer RJ135,ER3
E4379M3HNYZ571537,Antonov An-26,A26
4CBWDH1W6XWX94701,Boeing 757-200,752
6H850VW0FKVP61015,McDonnell Douglas MD87,M87
MC2C16WNY4YR34067,Boeing 757-200,752
4LP834VPFXH125886,Boeing 757-200,752
3R23FX6KBCGK91159,Tupolev Tu-134,TU3
BGDG8VML8SLW12291,Boeing 737-300,733
VFCYK0T039CC48381,Airbus A320neo,32N
6ZV0WTWGU2WA51560,Boeing 777,777
V5LMJWWAEFX016425,Boeing 737 MAX 8,7M8
9DFBYBXB1JGC95748,Antonov An-158,A58
RERNTRYEKGDY64105,Embraer Phenom 100,EP1
U5DGG1AXRGZG74927,De Havilland Canada DHC-8-400 Dash 8Q,DH4
WT8BTHPVJJSB34114,De Havilland DH.104 Dove,DHD
32WJCN15D7M037192,De Havilland Canada DHC-8-100 Dash 8 / 8Q,DH1
6UX4PH6W1DJF64937,Airbus A330-900neo,339
VCM1SEL0XVKX65872,Boeing 737-400,734
RAKWPHP4A0N085198,Ilyushin IL62,IL6
CKWCENCVLPUB66203,Boeing 787-8,788
U46D4YEUN1PX38744,Boeing 767-300,763
A4C891UBFDPD67380,Boeing 787-9,789
E7LLD5B353UU34649,Airbus A330-900neo,339
CECK6NSK6CJ763745,McDonnell Douglas MD82,M82
R38G658WL9UG33409,Boeing 727-200,722
3N7XHDZV0GWN48439,Boeing 737-200,732
XMTYZ0L475JZ21459,Boeing 747SR,74R
JY6SJA0FT3D029824,Boeing 767-400,764
314ZC264DDH252475,Embraer 195,E95
CW2AFGSB10WB11275,Boeing 777-300ER,77W
0X4X0EXCDLU974628,Boeing 777-200LR,77L
FTS066CAR9VV38233,Embraer RJ140,ERD
C1NU8RJ8V6T770231,Embraer E190-E2,290
JVACPZE540RK49144,Embraer 175,E75
5R3CP6FTL1DM19556,Boeing 737 MAX 7,7M7
B0Y1H3S0FZMW45138,Boeing 737-300,733
49MPK3GDNEY661122,Boeing 727,727
V1YB3TV0BEEH75743,Canadair CL-44,CL4
UR7SZW8H8XRH73508,Douglas DC-9-50,D95
UZWN3A7G7ZCB39141,Boeing 747-400,744
GTS0S1UV4GL412324,Canadair Regional Jet 700,CR7
NTL3MB693HSB22499,De Havilland Canada DHC-8-400 Dash 8Q,DH4
6MVLF0YC12DB91909,Boeing 737-400,734
5ZE9W325B8ZY28516,Boeing 737-700,73G
8EE1V99SGXE021724,Embraer Legacy 600,ER3
K53AF5T2BBEA96497,Boeing 737 MAX 9,7M9
PZ5XEMZFSPV192250,Embraer E195-E2,295
JW8594D096HH78608,Boeing 747-8,748
XJTJXBKV2XFD22749,Boeing 737 MAX 9,7M9
3Y8TJYD809SV17516,Boeing 767-400,764
JA03Y06Y9YV931734,Airbus A319neo,31N
JDAW10BBRGKD94454,McDonnell Douglas MD88,M88
74KFDPZY9XNL61974,Lockheed L-188 Electra,LOE
U7VGNBMU6WC138651,Embraer 195,E95
YEB1BZXC6NAH59504,De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH2
LUN0MMX6M3K330655,Douglas DC-9-10,D91
UCUJ9MK8N8RA65699,Boeing 747SR,74R
H3Y9W869TJFM76778,De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH2
07PERP1C6VNV53353,Boeing 777-300,773
5NGN5E9T85K257956,Airbus A330-300,333
WYNMFEH8GFHC99750,Boeing 777-300ER,77W
DAGX40X4MDB452494,De Havilland Canada DHC-3 Otter,DHL
PUSCZXSMVYKW38427,Boeing 737 MAX 10,7MJ
4MNSFUHH5TWC51914,Boeing 747-300,743
4KTXNF6W0ACS54732,Boeing 707,703
0V5SWM296PY511085,Boeing 737-700,73G
T06KFN5TPST655134,Boeing 737-200,732
UP5KW0U5EPM631407,Boeing 767-200,762
801Y93M174YE44741,McDonnell Douglas MD88,M88
2PGAKJKHYKMT47468,McDonnell Douglas MD90,M90
LP10PZMX3XTL99843,Airbus A340-500,345
BL0J5JTRB8DA34526,Boeing 777-300,773
BF6ST6FAWVLW80593,Airbus A319neo,31N
FVN7ZHBE84VF52542,Airbus A330-800neo,338
K1DB8H2PKUXZ26301,Embraer Legacy 600,ER3
UZ3MXNFY67TB40192,Boeing 787-9,789
UUA1B308UDTY48965,Boeing 767-400,764
TGLWZWAA3MLW67392,Airbus A350-1000,351
2TM64PDZHBUR74799,Douglas DC-8-50,D8T
278MU0ENW3FD59856,Aerospatiale/BAC Concorde,SSC
CF9RCPP7W8NE30330,Embraer 170,E70
6PHAWLERBEDN49943,McDonnell Douglas MD87,M87
029KNMCA52M752708,Embraer 175,E75
6B15WGXNN8JY13607,Embraer E195-E2,295
J7WYJ0ECACEF53405,De Havilland Canada DHC-6 Twin Otter,DHT
SRWK6HXD6CAP34067,Boeing 757,757
8MLJ1T4KVJPP19433,Boeing 707,703
JKR1YHAYWPT478441,Boeing 727,727
YHJ2MVCXHXUV68547,Boeing 720B,B72
RNX07GKYHUK914425,Airbus A350,350
01HB5GGRU7D877424,Boeing 727,727
A89H04U8W2A577165,Yakovlev Yak-40,YK4
VYU7AHVG89XP33196,Boeing 737 MAX 7,7M7
5K62VYECGFKT32906,Lockheed L-1049 Super Constellation,L49
NN00MJMXNAJX89324,Boeing 727-200,722
P15B3EN4FYGS83441,Airbus A380,380
J1PDNM7SY8ZC81993,Boeing 747-400D,74J
8ZPN5F0728GN19983,De Havilland DH.104 Dove,DHD
PT3KRT5F30RR67303,Boeing 737,737
0XE7N4ZNDZK268590,Sukhoi Superjet 100-95,SU9
CVH8TLFU14LA62483,Boeing 720B,B72
KBTM7R9S3PTB97155,Airbus A340-200,342
MFZGHPAPX7JL74177,Airbus A330-900neo,339
AFWK6J5M4BUR49879,Boeing 737,737
5LY3JAHTSRPV34027,Boeing 767-400,764
6JGXWHFLRTAV10673,Boeing 747-8,748
V7WXYL8ERYCY95147,Boeing 767-300,763
M9EF673RGZCW36909,Airbus A340-600,346
MKD5XTFKCEKN92913,Antonov An-72,AN7
06E9S59NPEG080437,Sukhoi Superjet 100-95,SU9
ZM1CZECW5WAH94547,Embraer 195,E95
9GLDDXXXEARH81967,Boeing 767,767
M34B9FJD6YEE50861,De Havilland Canada DHC-7 Dash 7,DH7
XGTUY1BLPLTM83776,Ilyushin IL62,IL6
RX4DVHN2AYMK65131,Airbus A330-800neo,338
FNVKD9G80EMN84579,Ilyushin IL114,I14
FPNL8J6MJZGY81543,Boeing 747SP,74L
FLJEN8JMZUT931991,De Havilland DH.104 Dove,DHD
5SE9VAZESSJN36064,Boeing 747-200,742
19N7AKCNYGPP73703,Boeing 720B,B72
TGWEF3G3Z6NV19740,Antonov An-28,A28
NRLHA8F7S6WY61041,Airbus A330-900neo,339
MSM57B2H5XPL30879,Boeing 777-300ER,77W
ETR8LTJYWXK038476,Douglas DC-10,D10
19G6J0PCB8UY80838,Boeing 737-500,735
5G38KYMTZZT417200,Boeing 747-200,742
L3UYCFD2P2UR12899,Airbus A330-300,333
R6U6VJ6W0GGC36286,Antonov An-24,AN4
TSGWKFKC30SX56673,Yakovlev Yak-40,YK4
LWVU5MHYHHPP30690,Boeing 747,747
K3VJHDEYXUEV64666,Airbus A310-300,313
XS55FKCT60MR51509,Boeing 737 MAX 8,7M8
T1DMR9ULELAS28573,McDonnell Douglas MD80,M80
YJHVYJUTZ9XU56853,Lockheed L-1049 Super Constellation,L49
Y73PG7XNM1R370542,De Havilland Canada DHC-7 Dash 7,DH7
E1L4M7VFYZCF59221,Boeing 737-100,731
LHGY6NL1APC972203,Ilyushin IL96-300,I93
1BUV08MDZZKY56209,Boeing 787-10,781
7LVPGMCUPSGK18225,Embraer RJ145 Amazon,ER4
92A4MVB29WSJ26254,Sukhoi Superjet 100-95,SU9
RP01TPVT4TPA25246,McDonnell Douglas MD80,M80
DEN6EG8RFJWS55223,Boeing 777-300,773
ADT1EHK4V2T754484,De Havilland Canada DHC-8-100 Dash 8 / 8Q,DH1
HN67KEBV85U745587,Antonov An-148,A81
JEAKN605U7BS28762,Embraer 170,E70
AWK1J28C51XZ50029,Airbus A310,310
BG8NN3DAUVMM91620,Embraer E195-E2,295
AZNPM0F9EWSR75294,Douglas DC-9-40,D94
XBAT3ZFSFWUM50601,Douglas DC-9-30,D93
CNUY95DTHTTA80389,Ilyushin IL62,IL6
LCHF4U07DZWT60342,Boeing 767,767
5HXD4GGDZHLD67365,Airbus A310-300,313
R63S571CZJM565880,Embraer 170,E70
8LFP9CYUJFR419203,Airbus A330,330
JEEHKC54P7R355026,Boeing 757,757
8NLD5GMRUXPJ60149,Embraer 175,E75
A2TWLC81SJFL94374,Boeing 747,747
R08SFNZXWXRJ24178,Boeing 737 MAX 10,7MJ
BAZLVM3HWSH457528,Embraer Legacy 600,ER3
B3EL08FC1GGX23745,Douglas DC-8-72,D8Q
NL16P85EJ8GZ73371,McDonnell Douglas MD11,M11
FP24GU006LDD74286,Douglas DC-8-62,D8L
ZWJ156ZEEYH679943,Embraer Legacy 600,ER3
AKDPHHPLUWNE18888,Embraer 170,E70
7B984L7YE9FG54049,Airbus A321,321
BW7A670TV4LN50632,Canadair Regional Jet 705,CRA
L4AE6Y09TDCW57883,Douglas DC-6,D6F
B8LTTTE4UZJL13386,Antonov An-72,AN7
CX79B017CSZB92540,Boeing 777-200,772
D34GECD1B3RD11581,Boeing 737,737
BEJRCSLYZAMW72474,Boeing 717,717
JWLVDGWJAVWE92152,Antonov An-32,A32
VCB4UBF98VY190500,Airbus A340-300,343
5NBALB22PUL416598,Airbus A350-900,359
MCWHEGUZWXX661481,Douglas DC-9-10,D91
KC9FL0BANJMT55573,Boeing 747,747
6YTJGJR5CZZ877017,Antonov An-12,ANF
3LFNCX0KERPX26595,Boeing 747,747
X1VFGT9PK6E985081,Ilyushin IL96-300,I93
2V7GPR76J1DB25343,Airbus A310-200,312
UULSP24NBDW580817,Antonov An-225 Mriya,A5F
R7YJF10TK4W534685,Douglas DC-9-30,D93
NXJ8P7CVN5CZ53760,Embraer 195,E95
17N52E24RKL084093,Boeing 777-300,773
5CDNUU8ZBUZJ88046,Embraer Phenom 300,EP3
HYH38PTWA2BC44997,Boeing 747-200,742
0RYPTTHARCL917039,Ilyushin IL18,IL8
PGV1GF56G5Y287309,Boeing 737-100,731
9Z56ZUZG2RJZ79419,Antonov An-32,A32
JUW97P2FZ8AU56147,Ilyushin IL86,ILW
ALF9YEYL8ZA393728,McDonnell Douglas MD81,M81
NZ55XF118CUE76408,Lockheed L-1011 Tristar,L10
2Z9KTLTBJGE486987,Boeing 777-300,773
W7UDWLVR2UH983945,De Havilland Canada DHC-7 Dash 7,DH7
46B4XCNHTSH724818,De Havilland Canada DHC-4 Caribou,DHC
47AERXPTCYHT69823,Boeing 737-700,73G
3CB8CYERF1XS15499,Airbus A310-200,312
3K61SCC828GM64871,Boeing 747SR,74R
ADWW442UUVN821641,Boeing 757-200,752
C3J4B7HEHSTB29492,Douglas DC-8-62,D8L
TBA75AX3TEMB77633,Antonov An-158,A58
KYZ6X7UKP4BK38819,Airbus A300,AB3
MCE37RF4U9GR36500,Boeing 717,717
4VHU3NU12TU179751,Boeing 747SR,74R
RUYM9MLU4PTV11765,Boeing 737-500,735
2ZJUA0YNMSG727088,Embraer EMB.120 Brasilia,EM2
4079VZW0LPAY75997,Canadair Regional Jet 700,CR7
MPDLZXSUN3LP36362,Lockheed L-1011 Tristar,L10
70X3MYEFBZTG75273,Airbus A310,310
BEXPMEC0XSE650372,Airbus A340-200,342
WFJ3TH1JFZJW69949,Boeing 737,737
AYZUKPBB5NW522573,Airbus A340-200,342
ETBWTRSSZXF646035,McDonnell Douglas MD87,M87
23ZDD72B1CB142963,Airbus A318,318
ETZLZJA74EXU37617,Antonov An-30,A30
61FKY683HBRZ91531,Douglas DC-9-30,D93
UGHNKNDL2UJ918466,Boeing 747-8,748
ELG1R4KC3MA367307,Antonov An-32,A32
XBSJ1E74TLGP14004,Douglas DC-3,D3F
LRV38PFVENRE10306,De Havilland Canada DHC-8-300 Dash 8 / 8Q,DH3
6EE23KSPEXHE99662,Douglas DC-8-62,D8L
XPR2PR6SE5EE45307,Lockheed L-188 Electra,LOE
PJPC1RK098G967927,Douglas DC-3,D3F
344S83MHE5R587223,Airbus A350,350
MV9XVGMUVURY77567,Embraer Legacy 600,ER3
UFGF50B6N5R677338,Boeing 747SP,74L
4ZJDWKFTGLP060089,Boeing 777-300ER,77W
6AR79Y4D5EWX45348,De Havilland Canada DHC-8-300 Dash 8 / 8Q,DH3
5UTM58926TPV34883,De Havilland Canada DHC-7 Dash 7,DH7
6CYYC00SFXH584148,Tupolev Tu-134,TU3
H1TMHG4G2CH974647,Canadair CL-44,CL4
3CSMLU2657HH15075,Boeing 767,767
A0MKSJ4VAGT434367,Douglas DC-9-50,D95
32WCVX736BCL53324,Airbus A319,319
J0LMBSPY9DSM11639,Aerospatiale/BAC Concorde,SSC
HN431ZMF9FK410494,De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH2
ZLP7R4KX0ACE17471,Canadair Regional Jet 100,CR1
75AAVRBZE5FF74958,Antonov An-225 Mriya,A5F
R80RXE1TU1T551186,Canadair Regional Jet 100,CR1
585ETJBND9JL48833,De Havilland Canada DHC-7 Dash 7,DH7
S1N7UFCXGYY741589,Embraer Phenom 300,EP3
EJYLWJKENBP946313,Antonov An-28,A28
AKZFXHCVUGZ374183,Antonov An-12,ANF
0D7HEC6VA2C360283,Ilyushin IL96-300,I93
H10WZGYCFEY720969,Canadair Regional Jet 200,CR2
CAATKZ6CXDAS18951,Airbus A330-900neo,339
4JHXPZ0AE4DS12590,Antonov An-148,A81
DT4JT1NUKGL960034,Douglas DC-9-40,D94
PN5XVWJJ89CJ35503,Boeing 787-10,781
S3DXBDC024XU24967,De Havilland Canada DHC-2 Beaver,DHP
8H4DHVTKFBYT34559,Antonov An-28,A28
0FG01Y6KYJCM74049,Antonov An-30,A30
LSET8PKL4TGA33399,Tupolev Tu-154,TU5
L5PZUT04TPWS16195,McDonnell Douglas MD83,M83
XPD9Y90HU2Y246773,Boeing 737-100,731
DPXJLN6JM6HU51223,Boeing 767-200,762
4EVJFBNRXWBV87677,Boeing 777-300ER,77W
CNGFCLMC91U547622,Boeing 737-200,732
5RN56WGLLHJW54809,McDonnell Douglas MD11,M11
9P0LWNFVYJJ622753,Boeing 747-8,748
1XNK67VF8DWE33646,Douglas DC-10-30,D1Y
8UVLADUGLXRL38820,Tupolev Tu-134,TU3
UZAGM8EC99G166243,De Havilland Canada DHC-8-300 Dash 8 / 8Q,DH3
XF5FZBKUFPSM71953,Embraer Phenom 300,EP3
ZKYF0LPXEDXH20034,Boeing 737-200,732
FZKRXDXBSUVL75728,McDonnell Douglas MD11,M11
RD3363LN2CBW68490,Canadair Regional Jet 100,CR1
E734C0LSU4AB34351,McDonnell Douglas MD90,M90
44A0ESHTTCR383296,De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH2
MGBLV5KE3TWV50603,Airbus A318,318
9KB5CP2MFGE095737,Boeing 787,787
YH2NRV57X4FD76914,Canadair Regional Jet 1000,CRK
HK2V1PCZ3PNJ65978,Boeing 767-400,764
BXMLZH8BA0B069344,Canadair Regional Jet 1000,CRK
RM9CST7ZL9GV97503,Boeing 767-300,763
YATY3WPV2PC017078,Boeing 747SP,74L
DPCE8GVKLBSC66701,Boeing 747-100,741
3807H1EYVCRF79630,Airbus A350,350
T1APTGM74RCJ31728,De Havilland DH.104 Dove,DHD
31T1DC5PHHX831442,De Havilland Canada DHC-8-200 Dash 8 / 8Q,DH2
4TF4AKCCP8CY62461,Boeing 767,767
94LCE93YXFW284620,Airbus A340-300,343
4RN6684R7ML585518,Boeing 737 MAX 9,7M9
WHPRRHYJZ9K786924,Airbus A350-900,359
P51SD5E6EYWG66309,Airbus A321neo,32Q
9X28NS3LNAFF12443,Antonov An-26,A26
JAGZA7H3HXUH90334,Airbus A320,320
N41LERX5UCMM30134,Embraer EMB.110 Bandeirante,EMB
XDDYHKSPAWXP99750,De Havilland Canada DHC-8-100 Dash 8 / 8Q,DH1
4NX2E0B8EJLZ43456,Canadair Regional Jet 1000,CRK
YJ9XV45KVKNS62412,De Havilland Canada DHC-2 Turbo-Beaver,DHR
5V9JEHRU4NVL60787,Yakovlev Yak-40,YK4
ZZHFAB91BVAU88954,Ilyushin IL86,ILW
JW54BV4T1FVV49137,Antonov An-28,A28
5D36SR2MLWLD17779,Douglas DC-8-62,D8L
0AVRUYKTH8ZX78438,Boeing 777-300ER,77W
LDB0EE7C56AB71836,Antonov An-30,A30
8FMYGJGMDMSD45291,Boeing 767-400,764
08GXUVGJ2DKU81052,Boeing 747,747
2DHUFBJGV7G760897,Tupolev Tu-204,T20
TF3DSYJMZ3UB61582,Embraer Phenom 100,EP1
9R1PPXM2L4ED15731,Douglas DC-6,D6F
N8GCPALB04DH11682,Embraer 170,E70
4KYV5N9FGPJS84886,Antonov An-124 Ruslan,A4F
EPR5EPZD7VVD95647,Airbus A318,318
3M8UPRNFSBP454081,Antonov An-124 Ruslan,A4F
N2Z0LRY0RCCX11209,Canadair Regional Jet 100,CR1
22PTZM3SXKWM74147,Airbus A340-300,343
1VRL2ZJM9HD742765,Canadair Challenger,CCJ
BZCFJR3F4LVV92736,McDonnell Douglas MD90,M90
US76ZFMCVYT570849,Boeing 737-200,732
DW53ZZV9XGCX13896,De Havilland Canada DHC-8-100 Dash 8 / 8Q,DH1
FVSXNWJZW2XU72619,Boeing 757,757
KDHPNW8LMBVL44452,Airbus A380-800,388
RZR6K03PGPZS78292,Boeing 747SP,74L
12XVUE3ZUPJ361762,De Havilland DH.114 Heron,DHH
MZJ3P6BXJUAL97696,Lockheed L-182 / 282 / 382 (L-100) Hercules,LOH
XV34GHNR73GS84187,Boeing 767-300,763
YA4YT2PLYPT498454,Boeing 737-500,735
RER0E0H2SXSY76315,Boeing 717,717
