ticketID,passengerID,flightNumber,flightType,seatNumber
45313279,73042958,19374,economy,8A
85598376,98209288,98483,economy,6C
00246561,24921745,61258,first class,9A
11105154,97671883,46215,first class,20F
50240238,57381252,16580,first class,18F
28601823,63379904,89552,economy,6D
09808843,54747678,89205,bussines,10C
76718480,99158083,72482,first class,18B
90129584,67350407,50993,first class,19A
56862322,29820250,18365,bussines,26E
44584539,79712849,13804,first class,9A
77501700,44448757,70205,economy,30F
07901607,94642088,37479,first class,7C
21651710,88219009,18594,bussines,27E
62538803,20927505,91010,economy,2F
41332177,95438055,48767,first class,13D
36711061,19081711,37857,economy,17D
85363007,02132756,77225,first class,7E
84855411,70100734,22728,economy,21D
70123606,68890403,81449,bussines,22B
64330399,90484287,62580,economy,24E
81777219,74397541,84155,first class,9B
23629071,80933547,52199,bussines,3A
71810976,53186277,57190,first class,13F
61931599,67674359,32022,economy,3C
12202713,63530865,92262,bussines,14E
32601101,11686807,27241,economy,8A
25200815,75739319,70620,bussines,33C
86200548,26060522,63225,economy,17E
38354155,10426180,54761,first class,19F
26241243,08747334,64063,bussines,6E
47714561,08817996,38987,bussines,7B
68679071,23486323,42948,economy,30B
36011787,61567904,15643,first class,26B
16426135,23359015,78850,first class,10C
70486402,60827573,89961,economy,14D
92032526,58221413,93099,economy,26A
84524415,09723340,35530,first class,26B
81818456,89229661,85205,economy,24C
97841635,18409020,82012,bussines,32A
43174197,17261962,99683,bussines,18D
31243681,68615314,94407,economy,32C
12948152,60769418,16952,bussines,27C
59275146,37432675,48473,first class,26A
87258079,18013538,35153,first class,29E
23285660,93598490,97270,first class,5C
73678992,77714026,84754,first class,2A
34172376,91849986,27714,bussines,30E
85433125,72900376,25945,first class,7F
14805457,45771710,97077,first class,14E
56902410,36582282,41627,bussines,15C
95335825,23467526,71639,bussines,9B
85705496,00039191,86547,bussines,4D
82896961,93718201,98823,bussines,9F
38209087,60861279,60419,economy,29D
44990619,95734989,50626,first class,23A
28024895,87117893,35695,first class,10F
22473843,18171292,43336,economy,3E
60733155,08337023,97796,economy,18C
65186924,94430298,70140,first class,20E
93910591,62884169,72176,bussines,20E
98301506,37082525,39474,first class,5E
18695003,58880638,86361,first class,8D
96805845,02397742,14220,economy,20E
61289338,79991826,82104,first class,13F
09398836,50520231,95124,first class,23A
05596702,05386295,10056,bussines,7F
45614838,73609789,60939,bussines,21F
74987008,50174576,70713,first class,28B
34820805,97153922,73210,bussines,32B
04432765,15546127,61583,bussines,9C
36791001,68294934,97018,bussines,20A
66443776,00631831,99333,first class,16E
22513987,31814637,68717,economy,27B
48614472,11278505,11170,first class,29F
45106172,87889627,44588,first class,11B
20103893,35971677,64369,economy,20C
30928447,23579980,83759,first class,13C
72982937,09861678,79031,first class,12E
17231903,83636493,89919,first class,25E
02008663,51140110,76281,first class,13B
69896002,52529246,75687,bussines,10B
40378278,96762801,28835,economy,22B
55439681,97600665,60650,economy,4C
30702857,72245579,14795,economy,12E
73791927,79858525,26749,first class,12B
40511448,36993179,76588,first class,18A
69182211,84544132,23814,first class,16A
66163233,71561367,19448,economy,7D
84258498,52204737,12625,bussines,20E
73800781,53034011,15130,first class,32A
50540178,37726207,31996,first class,14E
39302102,32007518,32759,bussines,13F
10693692,78664234,93943,economy,27B
07241459,48863453,30215,first class,1D
77435696,49658548,10245,economy,31C
06058024,51778744,50710,bussines,11A
79335903,72049660,29262,bussines,25A
65083143,75770778,72663,first class,6A
42151168,70179087,60050,first class,20D
50762977,78605492,16019,first class,7B
27751684,58212126,32538,economy,12D
69952955,60415239,74792,first class,32A
03633392,11879703,32740,economy,10A
22282703,35459487,56647,economy,5C
32346127,55157769,37276,economy,17C
34410580,64129838,92615,economy,25F
36852479,87466406,50923,bussines,21E
03190315,45733823,13159,first class,8A
06115806,58722801,50292,economy,30E
10426516,24196803,42867,economy,21B
92698187,61738525,38378,economy,24B
54878713,31166637,67322,bussines,19D
69004429,29302433,89345,economy,2B
38983849,65392577,67539,economy,22B
52076748,06493033,54427,bussines,1C
71224154,50157127,89530,economy,22F
88461977,29886107,98960,economy,3D
82369786,74471520,27249,bussines,4D
98748204,92536467,40794,bussines,23A
06228100,00969180,31510,bussines,24E
62195182,92676858,64948,first class,13C
74094620,21953325,52014,first class,31C
91513892,63167289,47603,first class,15B
44217755,63270564,21806,first class,29D
91817402,91460554,13898,economy,23B
47945509,85744529,22457,first class,4F
03909379,93417682,35378,first class,25A
67177076,47083143,54962,first class,15A
22365376,00334168,60657,first class,24D
39180740,21016748,70075,economy,16E
24520117,73360144,95882,bussines,12D
04063359,66220723,50357,first class,28E
73646752,10266733,59537,bussines,8E
63880098,28009530,26310,bussines,26A
83993276,33374405,18356,first class,15D
54305278,76771726,26850,bussines,19C
65963276,92216262,82385,economy,11C
78540804,11557401,84865,first class,15E
93676627,68122461,20410,bussines,14B
05985469,49011094,26276,economy,4F
83835412,06516734,60347,economy,24E
17927804,26034061,11341,first class,8E
98951871,23107528,22398,first class,13B
20450161,45806697,66283,bussines,19D
99122153,62779664,14353,first class,24A
65161431,40290473,31826,economy,8E
05452244,92645783,31184,first class,10E
84618004,74972961,87983,first class,6D
87148358,71309812,13159,first class,7C
89952467,91434811,73847,bussines,8A
01925807,32034086,90909,first class,13B
98128328,90972664,11271,bussines,12C
65528496,83864815,68279,bussines,9A
09323682,76047315,73252,economy,8D
57735984,88339943,88153,bussines,14E
04431524,52086564,30236,first class,29A
29316055,92853071,66757,first class,23D
94212200,37792344,45980,economy,16D
64209384,98692864,78900,economy,22D
95402962,50299359,14125,bussines,14A
62155488,40546360,15937,bussines,18B
86134878,83555683,21137,bussines,30F
21819595,66048112,63225,economy,7B
93622352,76086109,97832,bussines,5B
69479319,40448638,23987,first class,29B
14326702,84431870,27274,bussines,5B
06559861,72128840,25780,economy,30A
23816158,64630139,47767,economy,5F
31500073,97148671,61470,economy,13F
78705669,53349354,22074,economy,13B
12455584,48368154,43338,first class,16B
45925535,29337447,29661,first class,12D
89822128,75427393,74259,first class,19D
78322688,96918185,87339,first class,15F
05495928,17296933,83587,bussines,27B
09518955,89786688,33370,bussines,3A
50103616,23667195,42631,first class,33C
00136057,98199748,11092,first class,11B
38821010,16432379,76588,economy,10F
29996959,79778610,18571,bussines,18C
38070098,97347974,52123,first class,23C
68930705,04593766,30029,bussines,31B
27948877,84973472,23814,bussines,3F
07065347,91822635,84581,economy,10C
26493464,12765789,70456,bussines,10E
80668957,27468978,28211,bussines,18E
00720547,77450273,62905,economy,14C
68314996,49586457,26693,bussines,28C
00397035,14685979,74321,bussines,25F
81649810,93384420,22130,first class,33E
61360694,55027569,19615,economy,9E
34775280,21871122,36091,economy,21A
71436028,97776231,48527,economy,14F
85987275,12444383,77160,economy,5F
85630745,13846527,39632,first class,19C
61528452,25843954,95942,first class,18F
45578682,28611315,28671,economy,23D
32219754,41662882,67419,first class,14A
82929981,01761528,33876,bussines,24A
63772276,64135535,86747,first class,15F
37909194,41801793,59383,first class,31C
90416614,80445484,99005,economy,9B
10877972,79461372,96780,bussines,11B
18007703,53752281,60993,economy,15D
20758735,70758559,71618,first class,18A
62730135,76165143,53652,bussines,22B
96298937,89768718,47678,first class,25B
68865764,70731723,70457,economy,25D
63375156,27412286,51741,first class,9A
28965578,46121868,91821,economy,14C
11887821,34551785,36920,first class,17D
97899448,23971008,73870,first class,2F
89272864,76241429,84738,bussines,5D
92873266,26494129,29477,economy,2E
06222749,84583624,20179,economy,26F
25863087,73268887,19352,bussines,24B
73079810,25075586,73034,bussines,5C
21201516,63820165,28211,economy,24B
61110063,95632405,69492,economy,2F
41170603,78550598,36085,first class,2B
94631692,78856783,15400,economy,8A
52319409,51011300,76588,bussines,20B
16949772,97830128,37857,economy,26D
12108024,37091233,14611,first class,27E
11681588,79083460,38712,bussines,11D
11447245,44187590,51369,economy,28F
13620142,76287245,92846,first class,23C
01908408,52361273,36456,economy,9A
78979502,19052708,17613,economy,9D
28239459,13933479,47968,economy,4E
14316168,97191924,79679,economy,21C
06761448,60295083,25312,first class,32C
32302144,27025623,14110,economy,13D
06229849,99898444,85206,bussines,29F
61045219,32821775,39642,first class,14A
06282725,49626240,23782,economy,28C
31792222,49535815,97267,first class,3C
23087894,80850219,81913,bussines,17B
67344940,51274488,74535,bussines,27C
92967113,93005044,56500,bussines,5F
12079143,38155299,39157,first class,8C
09256929,03712464,78327,first class,27C
28771013,35362807,16245,bussines,5D
26165445,33074397,52186,bussines,15A
63218760,96435071,33173,bussines,18A
76601576,24082999,12808,first class,6B
17239998,48815744,39329,bussines,15B
64615209,26922805,39821,economy,1B
56324349,55941849,22164,economy,7B
16899274,55732105,64012,economy,5D
06219458,04921543,65047,economy,22C
31625885,12075308,80864,first class,27B
95669095,56614819,79105,first class,8B
01384462,29595643,62969,bussines,20B
61142783,16839579,57752,first class,13E
10170889,55369924,79170,first class,12E
60059352,28147474,58343,economy,20F
17933877,35502428,48209,bussines,6B
06723769,42605912,50952,bussines,19F
22242947,99453250,14593,bussines,11A
65456411,68831088,32310,first class,3E
31167302,93250416,92071,bussines,25B
71996786,48574853,80349,economy,5C
03811442,73597869,77149,bussines,9E
77802914,67168365,41493,bussines,20C
12782689,42652100,46739,first class,26A
80906315,66602078,20084,first class,22C
26456826,85467491,72762,economy,2B
91227665,16397529,98960,bussines,25F
64838943,93486845,52201,economy,10E
10718941,21426087,44530,bussines,19E
61323755,20700075,62100,economy,23F
22795989,84145481,37052,bussines,19C
46701190,79872479,16578,first class,3E
30596075,39566073,93275,bussines,27F
70969818,37539564,18783,bussines,23B
25128053,30898353,69214,bussines,6B
90323040,03561451,34995,economy,2D
70665888,11064424,36405,first class,22A
96665397,32900413,18397,first class,3C
17693764,03122997,18428,economy,32B
76455452,29672664,46332,first class,25B
57011795,65313488,30910,bussines,17E
45799073,99466153,34893,first class,14B
47541975,55931281,96829,bussines,32A
81402519,84436811,44300,bussines,18E
01979123,62516673,64012,bussines,29B
07435491,89630600,22782,economy,15E
35072727,71189428,50858,first class,23B
09555920,53220423,36599,first class,1A
25930775,34445143,27234,bussines,9B
97474756,43230321,78044,economy,18A
00493624,47786031,80247,bussines,17A
21999329,62849910,45095,economy,23E
39934461,12968689,13096,first class,23F
84024540,05231747,16944,economy,9F
07128132,66138076,21284,first class,6C
64995954,27723761,24537,first class,2C
38441136,12486161,63033,economy,17B
88255478,13545108,75425,first class,5A
75322180,36392802,85376,bussines,29E
38574014,05574687,26390,economy,19E
62750827,35198603,73677,first class,3A
12603819,62755988,49120,economy,26B
36156782,64168422,78335,economy,8B
45399647,44346698,86706,first class,33E
16649033,68073562,57806,bussines,14C
08157629,78941640,16473,bussines,10C
65081138,46206864,59780,economy,10D
21287931,19357848,43336,first class,16A
49052868,59916752,99488,economy,17A
83095111,94346456,77165,first class,7D
18722930,91036593,47378,economy,30F
70732452,96071058,19843,economy,9C
62203259,33852893,33377,economy,27C
72054219,03604289,73034,first class,1F
13305017,37261868,34269,first class,6D
28164327,76668681,89331,first class,16D
48480860,24617007,85556,economy,19C
29091939,23565468,51515,first class,5D
15264317,16016575,91911,economy,32A
62784243,05304137,31338,economy,12A
17729662,22230342,67290,first class,26B
67481206,43900739,86626,first class,21D
28465984,69420391,30225,economy,19E
34444061,94363595,99352,bussines,19B
82612933,58062096,92036,economy,17E
22643951,66765902,56790,bussines,14D
48700342,27139895,86309,economy,25C
17687242,58231291,24737,bussines,13E
34965796,18088379,89919,first class,13B
46645171,14987123,91606,first class,19A
08530475,20651515,27231,economy,2B
11599479,46149694,61252,economy,2E
26669267,65490850,80934,economy,18A
79683606,39283827,48494,first class,21B
77613926,37510076,34938,bussines,26D
60207834,35819415,84755,first class,32C
09156014,34217948,31510,first class,18E
67908107,88703518,64474,first class,9F
50542910,93466864,17257,bussines,9B
70226542,56375392,50062,economy,1B
68943613,31343821,59967,economy,24A
26230011,50290785,49493,economy,5E
56761592,40793295,35153,bussines,10B
02765321,99660659,73510,economy,29D
24071280,89294473,79924,bussines,2C
23717464,64208019,53652,economy,19D
97496941,27872923,49094,bussines,26A
44583442,88965644,23696,economy,31D
75272652,91686635,36692,first class,23A
82182831,61784990,12943,economy,5B
41117991,82707191,78042,bussines,32E
30435366,32548415,91701,economy,17E
61685019,31319704,73766,first class,5D
65138213,47804080,93569,first class,20A
33491373,19705984,26037,first class,25F
31928097,24441031,37264,economy,25E
10737876,96295256,54763,economy,30C
38796415,86028043,43703,bussines,9B
00134042,22288085,59157,bussines,6F
43617986,77623026,25507,first class,5B
81931772,55043877,22486,economy,1B
95292263,05620260,15447,first class,23E
49416527,31720985,73376,bussines,32F
43503909,23828928,59648,economy,25E
48977453,98469850,78798,first class,25D
95024201,39691791,40906,bussines,10F
43882821,37869162,39987,economy,26C
10576475,97922299,20487,economy,29A
05938489,19695647,24453,bussines,17F
23753902,96548494,51077,economy,23C
53538498,16232360,73267,economy,5F
74710105,83004128,60939,first class,17D
48090438,48053804,22457,first class,21E
56767460,84685716,50297,first class,23F
31485670,82536698,91214,bussines,7B
14067578,76047221,48147,economy,28F
44639891,29777317,63388,economy,7B
67492316,94920186,57168,first class,10E
21764229,92358480,64330,first class,13D
14305693,59554970,66974,economy,12F
12342925,77669751,39106,bussines,25C
11066459,37533176,35192,economy,21E
61990009,41821144,38712,bussines,19F
37121394,01396035,83464,economy,11E
87202965,58606654,85969,first class,3E
38379390,98660851,22799,bussines,17B
06208699,04668147,52706,first class,14C
00250049,36610464,75301,economy,21A
53449274,58444985,62281,economy,13B
46630721,01016658,47880,economy,6F
93418014,31464379,49717,bussines,13E
87194897,15397250,66411,bussines,8F
46713318,77696544,78045,first class,13F
28485862,87797849,47758,bussines,1B
35050133,65083960,25684,bussines,14E
90228076,22748809,99306,economy,4A
50315709,29869573,60155,economy,9D
41610962,13182090,13159,first class,6B
65377494,84064741,32460,economy,29E
16513493,12619219,53376,first class,25A
30966112,23675227,38385,bussines,18C
52864898,49795574,22134,bussines,11F
67578608,19138773,85969,economy,12C
37299946,53891134,38671,bussines,14E
30890433,09100318,57835,economy,23B
97196616,01624177,57869,economy,32C
49136547,56627872,94815,first class,24A
07224437,25875094,41546,first class,21C
03153009,22454335,45173,bussines,21E
28641838,83917630,24591,first class,12C
18308713,89936608,55339,economy,26B
75122582,24353644,54111,first class,7C
31229835,04580014,73376,first class,12E
79825585,36167522,54560,economy,18B
14698274,41811121,96285,first class,5A
29421962,58896258,35997,economy,13F
23101773,48428350,97247,economy,6F
10436343,11658334,55281,economy,17A
53206259,69914484,15495,economy,5B
45509738,02713339,15937,bussines,30B
26169484,63661512,86811,first class,4C
51384276,97171999,78284,bussines,17A
49949096,50375289,41710,bussines,15C
16557918,80571115,22782,first class,27C
22497581,00100633,13945,bussines,2A
28414787,73538858,25953,bussines,15C
56575638,67277779,28211,first class,5B
07019452,70253455,36916,bussines,4B
86995848,74099847,44530,economy,27F
34851802,31098525,45887,first class,14D
69754563,33898944,60442,first class,20C
05905838,91207049,80374,bussines,25C
27815059,57789813,79105,first class,8A
82391390,63369445,70499,bussines,30D
51353011,06289193,76075,economy,29E
91196466,04385497,38462,economy,9F
04546494,18824631,49019,bussines,2A
23272362,25926999,82104,economy,26A
59471789,61634887,16688,bussines,21D
88967800,61731641,17878,bussines,3B
56129389,15668289,21621,bussines,16D
21680408,38954038,26815,bussines,27A
66830041,07864623,36920,bussines,33A
96598288,90755432,28835,first class,18D
19679713,65413757,67358,first class,23C
37608972,76775670,23477,economy,4F
17064520,20441388,94881,first class,17B
65398519,56883894,13037,first class,16D
87573062,84251880,79536,bussines,25A
34301141,91908943,47773,economy,15C
70213451,15319839,52201,first class,21E
78775186,04853656,47880,economy,24C
81848662,81479363,94489,bussines,33A
78694347,38271255,74481,bussines,2C
59341445,59475426,11398,first class,26B
65614942,21512441,96538,first class,29D
58076981,28605768,89415,economy,32B
76064919,92165797,65363,economy,17F
69546472,17647292,66891,bussines,22E
65898991,92472013,74144,bussines,31C
93117583,02670745,45681,first class,19D
04548434,50510817,22782,bussines,21C
47621055,09051629,64429,first class,22A
20507080,66063043,95681,economy,15C
92883197,24509520,97432,first class,7A
83987433,14272371,60393,bussines,25F
40428752,21703488,38712,economy,26B
33621400,80277370,64369,first class,9F
89207625,76702385,80270,economy,28B
15020457,82306750,52201,economy,10C
06784428,19059751,69437,bussines,15D
17182424,48655140,80519,first class,26A
18243639,29882961,91947,bussines,7C
47987554,80641694,81101,first class,3F
40601089,30910535,86361,economy,25E
95378933,14065208,36599,economy,20D
45094469,21034192,60612,first class,3E
34299818,60743855,47593,bussines,24D
65923231,92781841,92488,bussines,15B
88313467,21295110,34530,bussines,25F
80701865,73207500,52213,first class,6A
52857082,85393163,84867,economy,13B
46391254,31903064,63926,first class,21B
96009081,96092120,70067,economy,25B
34752139,60211036,51443,economy,22A
68896083,75948601,60155,bussines,8A
22435853,66697204,27882,economy,28C
30887323,98713282,23696,first class,26F
83085517,25681718,92883,first class,29F
46890412,47630871,20936,bussines,14D
68013195,90922066,31593,economy,24C
34290070,41631269,81913,bussines,21B
87652127,33956639,79690,economy,27E
29056718,33073125,41828,economy,1C
77914655,97428437,31488,bussines,11A
19163171,64510253,49028,economy,22B
00876430,02008210,63647,first class,27F
36552026,98941936,95593,bussines,24A
40486056,99447446,67417,bussines,17D
81334004,12322933,33421,economy,23E
55917073,17524784,38504,first class,2F
31027824,27896555,60393,economy,4A
63899161,23787018,92974,first class,13F
18169526,19967928,81172,economy,29C
74233612,92720156,71429,bussines,12D
78799553,00415430,10210,bussines,21E
06554827,93555512,13509,economy,7D
24239434,52551932,61470,bussines,30A
26772369,52309425,82937,bussines,25C
05079494,78016358,45646,bussines,33E
36442441,29140985,95767,first class,6E
55503304,59635576,40504,economy,11D
35161984,20182822,26423,bussines,24B
91065401,25936666,76818,first class,30D
20033342,86085054,64063,bussines,12A
08239162,50324707,38097,first class,9F
89779844,83328696,57135,first class,26E
40353489,19037976,91179,first class,9A
50880865,65582588,36062,economy,10F
68182910,42773834,38804,bussines,15D
58834010,47662081,80427,first class,2E
73976628,05243669,67539,economy,10D
93369784,26205376,94612,first class,20D
79445405,67204902,16955,bussines,4A
32613501,05712732,18216,bussines,16C
90808457,46598096,19326,bussines,29D
73409578,05753987,24486,first class,31C
02175925,65446619,90929,first class,21E
64095578,81361690,11831,economy,2C
93215979,90855350,72063,economy,28A
43075183,33212140,93839,economy,19B
40003376,20281331,96509,bussines,29A
81982836,41261717,30544,economy,16F
76004695,40482684,31260,first class,7F
50203252,25348230,83759,economy,23D
57608901,07235592,78497,economy,25B
80388005,10080120,26961,bussines,14D
67081912,16578961,99346,first class,7F
09408177,37022948,21954,bussines,24F
26202015,88704729,39095,bussines,13C
20943993,57541024,25260,first class,12D
23954896,22481413,96703,bussines,22C
00627114,08389196,20876,bussines,5C
69444401,80464749,94374,first class,9B
72235070,26962027,60845,bussines,16C
16737827,92949135,72176,bussines,4E
54517693,34007583,46644,economy,6C
33733427,37881589,24410,first class,7A
97652448,69875425,74859,bussines,17D
89322018,42175656,91270,economy,17F
43068620,09176798,99683,first class,19F
62856891,35658414,99821,bussines,3F
03745183,14443002,86739,bussines,30A
16766093,76316861,33288,bussines,27C
79544493,46664092,42419,first class,3E
24007565,17500216,72133,first class,8F
33597701,57882305,63424,economy,31A
66801083,32453600,35664,bussines,27F
35592277,02659558,52857,first class,31C
93134606,72738162,76560,bussines,15D
75899900,04983970,37494,economy,2A
03084713,39442133,27013,economy,31F
00347959,67953138,50419,bussines,6B
98951904,24688174,52036,first class,4B
75495777,59326395,26088,first class,20C
95700042,01576188,51443,first class,25B
71063346,63149251,25838,first class,15D
35898124,75220003,99333,economy,5B
23100342,02549087,31318,first class,8E
75747689,83717256,14593,first class,9B
31163762,93122281,47994,bussines,17A
07643339,85910854,17799,first class,3B
03151192,11668407,25485,bussines,29D
72456081,62275028,45440,first class,15D
54975924,58697335,72205,economy,6A
85415803,43532430,84629,first class,31D
48032385,01240847,21632,economy,11C
00221429,32345294,93649,economy,20A
61083251,09217570,56395,bussines,29A
11865125,77942117,42815,economy,6F
72807155,87057679,52764,bussines,7E
29520003,22592546,22199,first class,18B
45062983,78404981,12906,economy,8E
18637881,32202235,17498,economy,14C
99760418,18094332,87195,first class,32D
49641526,44629119,13184,bussines,19A
41516336,28060829,98177,bussines,31A
78763167,47431517,84489,first class,32A
09355131,82078918,18356,economy,24C
52926633,99651380,99875,economy,23F
67092864,37919480,20720,first class,25A
52943381,10318732,23608,economy,2D
09504191,99122313,27274,bussines,10D
07957278,82564037,92552,economy,2C
92717298,19115488,73040,economy,3F
08631128,25572400,58507,bussines,17F
84627526,57293710,61383,first class,32B
25652314,27707081,81351,first class,1B
25383961,98180283,78195,economy,21A
29488920,71031677,53941,bussines,10F
11078393,81682449,10372,economy,1A
32552628,97774506,12562,economy,11C
66475820,86568921,40367,bussines,23B
79655654,46123011,79830,bussines,17E
81404864,78131515,77987,bussines,20F
06595253,21770508,58751,first class,13E
29035011,62287811,84011,economy,7A
02481409,34365734,17628,first class,23B
43870680,49760750,36759,bussines,26B
16145704,46284850,43939,bussines,29D
19451653,99944168,65771,bussines,24C
35151298,25753269,72251,first class,28D
48596013,91020524,71938,bussines,21D
41524076,40179549,53462,bussines,29F
35837967,47407111,42640,bussines,32A
08623298,50567241,80720,economy,29F
86419630,59218213,73210,economy,21C
84246162,98977290,20860,economy,8D
07147611,69938847,78065,economy,23E
29555528,48043497,55281,economy,31F
83651181,21240157,51112,economy,16E
50199697,41230135,93649,first class,16C
27411423,10555144,36061,first class,17E
26593820,02635039,39037,first class,26B
72423677,44128127,54085,bussines,25B
90978769,37825072,74724,first class,12C
40957758,48616876,22795,economy,4A
19862476,36142419,60730,economy,13A
03929277,08508048,30379,economy,1A
58762141,70736503,51163,first class,5B
27129269,37286226,40504,economy,10E
30593742,60318614,13701,economy,26B
68774614,99658859,24658,economy,25A
36118861,23544740,53870,economy,32B
95858557,20299064,41091,first class,12F
49178947,58003079,49797,economy,27B
92791531,92983899,43082,bussines,33E
16984816,01012373,28494,economy,12B
74646245,80726732,90572,bussines,2C
60180273,83023145,27552,economy,4F
87378076,07549167,84753,first class,29E
92287971,94049846,23993,first class,32C
55006895,88281528,47880,economy,8B
70898955,03997521,14611,first class,17F
23780195,38739369,27087,economy,13D
52952262,86909955,33123,first class,22B
17863676,39836298,78044,first class,3C
69384611,06928996,25507,first class,24F
59413062,87925725,98126,bussines,21E
66633599,27041199,99821,first class,20A
89644813,78303216,52375,economy,22D
94544849,82727280,84555,first class,24D
20118720,14906077,62187,bussines,30E
01048705,03790626,89630,economy,17F
65708323,94286453,97706,economy,10C
40254369,49352400,39495,bussines,32D
83550179,13271604,80565,bussines,16E
67018319,82286423,28901,economy,33B
55625010,22580047,94489,bussines,8B
09869320,32615416,66266,economy,7B
